cn,en
刚果（布）,Congo
刚果（金）,Dem. Rep. Congo
布隆迪共和国,Burundi
卢旺达,Rwanda
索马里,Somalia
南苏丹,S. Sudan
赤道几内亚,Eq. Guinea
中非共和国,Central African Rep.
厄立特里亚,Eritrea
科特迪瓦,Côte d'Ivoire
几内亚比绍,Guinea Bissau
北马其顿,Macedania
塞尔维亚,Serbia
波黑,Bosnia and Herz.
捷克,Czech Rep.
吉尔吉斯斯坦,Kyrgyzstan
不丹,Bhutan
斯里兰卡,Sri Lanka
缅甸,Myanmar
老挝,Lao PDR
柬埔寨,Cambodia
东帝汶,Timor-Leste
新喀里多尼亚,New Caledonia
法罗群岛,Faeroe Is.
美国,United States
圣卢西亚,Saint Lucia
安提瓜和巴布达,Antigua and Barb.
赞比亚共和国,Zambia
黑山,Montenegro
毛里塔尼亚,Mauritania
多米尼加,Dominican Rep.
格陵兰,Greenland
库拉索岛,Curaçao
美属维尔京群岛,U.S. Virgin ls.
百慕大,Bermuda
蒙特塞拉特,Montserrat
格林那达,Grenada
多米尼克,Dominica
特克斯和凯科斯群岛,Turks and Caicos ls.
北马里亚纳群岛联邦,N. Mariana ls.
福克兰群岛,Falkland ls.
也门共和国,Yemen
